機構代碼,區域,縣市,行政區,機構名稱,地址,電話,經度,緯度
111070010,台北區,基隆市,信義區,衛生福利部基隆醫院,基隆市信義區信二路２６８號,02-24292525,121.748322,25.130456
1411030013,台北區,基隆市,暖暖區,醫療財團法人臺灣區煤礦業基金會臺灣礦工醫院,基隆市暖暖區源遠路２９號,02-24579101,121.733254,25.107904
511040010,台北區,基隆市,中正區,三軍總醫院附設基隆民眾診療服務處,基隆市中正區正榮街100號,02-24231735,121.764267,25.144625
101090517,台北區,臺北市,中正區,臺北市立聯合醫院-和平院區,臺北市中正區中華路二段33號,02-23889595,121.506986,25.03562226
101090517,台北區,臺北市,大同區,臺北市立聯合醫院-中興院區,臺北市大同區鄭州路145號,02-25523234,121.5093209,25.0509696
101090517,台北區,臺北市,士林區,臺北市立聯合醫院-陽明院區,臺北市士林區雨聲街105號,02-28353456#5145,121.5315656,25.105194
101090517,台北區,臺北市,南港區,臺北市立聯合醫院-忠孝院區,臺北市南港區同德路87號,02-27861288,121.5860755,25.0465327
1101010021,台北區,臺北市,松山區,基督復臨安息日會醫療財團法人臺安醫院,"臺北市松山區八德路二段424,426號",02-27718151,121.547339,25.0480541
501010019,台北區,臺北市,松山區,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路１３１號,02-27642151,121.557672,25.054373
1101010012,台北區,臺北市,松山區,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路１９９號,02-27135211,121.5496556,25.0555992
1101110026,台北區,臺北市,內湖區,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段４２０巷２６號,02-26345500,121.6089476,25.0758907
901190010,台北區,臺北市,萬華區,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,02-23076968,121.494405,25.027743
1501010010,台北區,臺北市,松山區,博仁綜合醫院,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,02-25786677#2019、0978-199960,121.5576835,25.0499097
701160518,台北區,臺北市,北投區,臺北市立關渡醫院(委託臺北榮民總醫院經營),臺北市北投區知行路225巷12號,02-28587000,121.4662583,25.12048992
501160014,台北區,臺北市,北投區,三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路60號,02-28959808,121.5098927,25.13960801
1501021219,台北區,臺北市,大安區,秀傳醫院,臺北市大安區光復南路116巷1號,02-27717172,121.5568422,25.04312941
1231030015,台北區,新北市,永和區,天主教耕莘醫療財團法人永和耕莘醫院,新北市永和區中興街80號地下1樓至地上6樓及國光路123號地下3樓至地上11樓,02-29286060,121.51787,25.011874
1331160010,台北區,新北市,泰山區,輔仁大學學校財團法人輔仁大學附設醫院,新北市泰山區貴子路69號(地下4層、地上1至11層及13層、15層),02-85128888,121.430799,25.039676
1131110516,台北區,新北市,汐止區,國泰醫療財團法人汐止國泰綜合醫院,新北市汐止區建成路59巷2號地下4樓至地上12樓,02-26482121#3910,121.661084,25.072872
131060029,台北區,新北市,新莊區,衛生福利部臺北醫院,新北市新莊區思源路127號,02-22765566,121.459623,25.043241
1131090019,台北區,新北市,三峽區,行天宮醫療志業醫療財團法人恩主公醫院,新北市三峽區復興路399號,02-26723456#6105,121.363008,24.938385
131020016,台北區,新北市,三重區,新北市立聯合醫院,新北市三重區新北大道1段3號、3之1號,02-29829111,121.490998,25.060821
131020016,台北區,新北市,板橋區,新北市立聯合醫院-板橋院區,新北市板橋區英士路198號,02-22575151,121.457634,25.023779
431270012,台北區,新北市,金山區,國立臺灣大學醫學院附設醫院金山分院,新北市金山區五湖里玉爐路7號,02-24989898,121.628395,25.219556
1531060180,台北區,新北市,新莊區,新泰綜合醫院,新北市新莊區新樹路176號,02-29962121,121.434351,25.021432
1531071030,台北區,新北市,樹林區,仁愛醫院,新北市樹林區文化街9號(地下1、2樓及地上1樓至8樓),02-26834567,121.420039,24.987188
1531120038,台北區,新北市,瑞芳區,瑞芳礦工醫院,新北市瑞芳區一坑路71之2號,02-24974101,121.80217,25.108602
1231050017,台北區,新北市,新店區,天主教耕莘醫療財團法人耕莘醫院安康院區,新北市新店區車子路15號,02-22123066,121.5038556,24.95367737
1131130018,台北區,新北市,土城區,新北市立土城醫院（委託長庚醫療財團法人興建經營）,新北市土城區金城路2段6號,02-22630588,121.4487698,24.97632289
1531041390,台北區,新北市,中和區,怡和醫院,新北市中和區連城路49號,02-22450009,121.4985288,25.00190762
1531131157,台北區,新北市,土城區,恩樺醫院,新北市土城區中央路一段7之18號,02-22639955,121.4488352,24.9911882
1134010022,台北區,宜蘭縣,宜蘭市,宜蘭仁愛醫療財團法人宜蘭仁愛醫院,宜蘭縣宜蘭市中山路二段260號,03-9321888,121.754451,24.748723
434010518,台北區,宜蘭縣,宜蘭市,國立陽明大學附設醫院,宜蘭縣宜蘭市校舍路169號,03-9325192,121.754029,24.757853
634070018,台北區,宜蘭縣,員山鄉,臺北榮民總醫院員山分院,宜蘭縣員山鄉榮光路386號,03-9222141,121.687824,24.721919
1134020028,台北區,宜蘭縣,羅東鎮,天主教靈醫會醫療財團法人羅東聖母醫院,宜蘭縣羅東鎮中正南路160號,03-9544106,121.77159,24.67187
634030014,台北區,宜蘭縣,蘇澳鎮,臺北榮民總醫院蘇澳分院,宜蘭縣蘇澳鎮蘇濱路一段301號,03-9905106,121.848611,24.614096
1134050026,台北區,宜蘭縣,礁溪鄉,天主教靈醫會醫療財團法人礁溪杏和醫院,宜蘭縣礁溪鄉礁溪路4段129號,03-9886996,121.769144,24.820582
1134020019,台北區,宜蘭縣,羅東鎮,醫療財團法人羅許基金會羅東博愛醫院,宜蘭縣羅東鎮南昌街83號,03-9543131#1131,121.772942,24.671778
190030516,台北區,金門縣,金湖鎮,衛生福利部金門醫院,金門縣金湖鎮復興路2號,082-332546#11801,118.4160218,24.4431883
131060010,台北區,新北市,新莊區,衛生福利部樂生療養院,桃園縣龜山鄉萬壽路1段50巷2號及新北市新莊區中正路794號,02-82006600,121.407968,25.020372
132110519,北區,桃園市,新屋區,衛生福利部桃園醫院新屋分院,桃園市新屋區新屋村14鄰新福二路六號,03-4971989,121.107189,24.969856
532090029,北區,桃園市,龍潭區,國軍桃園總醫院附設民眾診療服務處,桃園市龍潭區中興路168號,03-4799595,121.234867,24.877602
632010014,北區,桃園市,桃園區,臺北榮民總醫院桃園分院,桃園市桃園區成功路三段一○○號,03-3384889,121.325155,25.00402
1532011154,北區,桃園市,桃園區,敏盛綜合醫院,桃園市桃園區經國路168號,03-3179599,121.306314,25.016234
1132010024,北區,桃園市,桃園區,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,桃園市桃園區建新街123號,03-3613141,121.312242,24.982288
1532040066,北區,桃園市,楊梅區,怡仁綜合醫院,桃園市楊梅區楊新北路三二一巷三０號,03-4855566,121.155427,24.916951
1532040039,北區,桃園市,楊梅區,天成醫院,桃園市楊梅區中山北路一段三五六號,03-4782350,121.1571669,24.962516
1532100049,北區,桃園市,平鎮區,聯新國際醫院,桃園市平鎮區廣泰路七七號、桃園市平鎮區延平路二段430巷115號,03-4941234,121.20496,24.94612
932020025,北區,桃園市,中壢區,天成醫療社團法人天晟醫院,桃園市中壢區延平路155號,03-4629292,121.229327,24.962795
1532021383,北區,桃園市,中壢區,懷寧醫院,桃園市中壢區志廣路119號,03-4919119,121.2055551,24.96146942
1132071036,北區,桃園市,龜山區,長庚醫療財團法人桃園長庚紀念醫院,桃園市龜山區頂湖路123號,03-3196200,121.3667802,25.02988402
1532021365,北區,桃園市,中壢區,華揚醫院,桃園市中壢區中北路二段316號,"	03-4577200",121.2299712,24.95313224
1532020215,北區,桃園市,中壢區,祐民醫院,桃園市中壢區民族路二段180號,03-4915656,121.2037883,24.95751014
1532021338,北區,桃園市,中壢區,中壢長榮醫院,桃園市中壢區環中東路150號,03-4631230,121.2578603,24.96448913
2332130017,北區,桃園市,復興區,復興區衛生所,桃園市復興區澤仁里中正路25號,03-3822325,121.3510651,24.81512769
512040014,北區,新竹市,北區,國軍桃園總醫院新竹分院附設民眾診療服務處,新竹市北區武陵路3號,03-5348181#325117,120.961966,24.816144
1112010528,北區,新竹市,東區,國泰醫療財團法人新竹國泰綜合醫院,新竹市東區福德里中華路二段六七八號及六七八號之一,03-5278999#7999,120.965227,24.798257
1512011185,北區,新竹市,東區,南門綜合醫院,新竹市東區成功里林森路20號,03-5261122#150,120.969682,24.80222
433050018,北區,新竹縣,竹東鎮,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院竹東院區,新竹縣竹東鎮至善路52號,03-5943248,121.09328,24.719099
633030010,北區,新竹縣,竹東鎮,臺北榮民總醫院新竹分院,新竹縣竹東鎮中豐路一段81號,03-5962134,121.100178,24.722617
1333050017,北區,新竹縣,竹北市,中國醫藥大學新竹附設醫院,新竹縣竹北市興隆路一段199號,03-5580558,121.001989,24.824037
433050018,北區,新竹縣,竹北市,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院竹北院區,新竹縣竹北市生醫路一段2號302,03-6677600,121.043718,24.80607
1133060019,北區,新竹縣,湖口鄉,天主教仁慈醫療財團法人仁慈醫院,新竹縣湖口鄉忠孝路２９號,03-5993500#2190,121.045474,24.900496
1533051063,北區,新竹縣,竹北市,大安醫院,新竹縣竹北市博愛街318巷6號,03-5557188,121.0081583,24.83498111
1533051072,北區,新竹縣,竹北市,新仁醫院,新竹縣竹北市博愛街331號,03-5552039,121.0078125,24.83560451
1535010051,北區,苗栗縣,苗栗市,大千綜合醫院,苗栗縣苗栗市恭敬路36 號,037-357125,120.8149327,24.54986318
135010016,北區,苗栗縣,苗栗市,衛生福利部苗栗醫院,苗栗縣苗栗市為公路747號,037-261920,120.840405,24.575655
1135050020,北區,苗栗縣,頭份市,為恭醫療財團法人為恭紀念醫院,苗栗縣頭份市信義路128號,037-676811,120.907345,24.687096
935020027,北區,苗栗縣,苑裡鎮,李綜合醫療社團法人苑裡李綜合醫院,苗栗縣苑裡鎮和平路168號,037-862387,120.65272,24.44182
1535081078,北區,苗栗縣,大湖鄉,大順醫院,苗栗縣大湖鄉中正路四十八之五號,037-997666,120.867619,24.422435
1535051178,北區,苗栗縣,頭份市,重光醫院,苗栗縣頭份市中華路1037號,03-7682666,120.9086611,24.6866964
1535010024,北區,苗栗縣,苗栗市,協和醫院,苗栗縣苗栗市中正路1367號,03-7352631,120.8176672,24.54129848
1535031041,北區,苗栗縣,通霄鎮,通霄光田醫院,苗栗縣通霄鎮中山路88號,037-759999,120.6803423,24.48958265
935010012,北區,苗栗縣,苗栗市,梓榮醫療社團法人弘大醫院,苗栗縣苗栗市新東街125號,037-320508,120.8215602,24.5517864
1535040068,北區,苗栗縣,竹南鎮,慈祐醫院,苗栗縣竹南鎮民治街17號,037-476589,120.8789169,24.68477405
936030018,中區,臺中市,大甲區,李綜合醫療社團法人大甲李綜合醫院,臺中市大甲區八德街2號,04-26862288,120.618073,24.350784
1136200015,中區,臺中市,大里區,仁愛醫療財團法人大里仁愛醫院,臺中市大里區東榮路４８３號,04-24819900#11564,120.680434,24.109261
