country_ch,country_en,cases,deaths
美國,United States,"87,419,877","1,038,997"
印度,India,"43,531,650","525,242"
巴西,Brazil,"32,610,514","672,429"
法國,France,"31,658,727","149,801"
德國,Germany,"28,542,484","141,397"
英國,United Kingdom,"22,741,065","180,417"
義大利,Italy,"18,938,771","168,698"
俄羅斯,Russia,"18,445,301","381,354"
韓國,South Korea,"18,413,997","24,576"
土耳其,Turkey,"15,180,444","99,057"
西班牙,Spain,"12,890,002","108,259"
越南,Vietnam,"10,750,313","43,089"
日本,Japan,"9,456,796","31,352"
阿根廷,Argentina,"9,394,326","129,109"
澳洲,Australia,"8,291,345","10,085"
荷蘭,Netherlands,"8,210,651","22,392"
伊朗,Iran,"7,241,648","141,408"
哥倫比亞,Colombia,"6,175,181","140,070"
印尼,Indonesia,"6,097,928","156,766"
墨西哥,Mexico,"6,093,835","325,793"
波蘭,Poland,"6,017,601","116,437"
葡萄牙,Portugal,"5,214,701","24,236"
烏克蘭,Ukraine,"5,018,019","108,656"
馬來西亞,Malaysia,"4,578,741","35,787"
泰國,Thailand,"4,534,017","30,736"
奧地利,Austria,"4,475,146","18,805"
以色列,Israel,"4,404,223","10,984"
比利時,Belgium,"4,265,296","31,952"
智利,Chile,"4,035,379","58,631"
南非,South Africa,"3,995,784","101,847"
加拿大,Canada,"3,952,733","42,042"
捷克,Czech Republic,"3,936,870","40,324"
臺灣,Taiwan,"3,929,627","7,128"
瑞士,Switzerland,"3,805,763","13,413"
希臘,Greece,"3,755,074","30,349"
菲律賓,Philippines,"3,710,145","60,610"
秘魯,Peru,"3,640,061","213,579"
丹麥,Denmark,"3,068,174","6,543"
羅馬尼亞,Romania,"2,927,187","65,755"
瑞典,Sweden,"2,519,199","19,124"
伊拉克,Iraq,"2,364,453","25,247"
塞爾維亞,Serbia,"2,034,544","16,135"
孟加拉,Bangladesh,"1,982,972","29,181"
匈牙利,Hungary,"1,928,125","46,647"
斯洛伐克,Slovakia,"1,798,131","20,152"
約旦,Jordan,"1,700,526","14,068"
喬治亞,Georgia,"1,662,299","16,844"
愛爾蘭,Ireland,"1,600,614","7,467"
巴基斯坦,Pakistan,"1,539,275","30,403"
新加坡,Singapore,"1,485,964","1,421"
挪威,Norway,"1,448,679","3,337"
紐西蘭,New Zealand,"1,366,853","1,534"
哈薩克,Kazakhstan,"1,307,330","13,663"
香港,Hong Kong,"1,256,279","9,405"
摩洛哥,Morocco,"1,230,095","16,131"
保加利亞,Bulgaria,"1,175,082","37,261"
克羅埃西亞,Croatia,"1,152,335","16,089"
芬蘭,Finland,"1,145,610","4,875"
黎巴嫩,Lebanon,"1,117,540","10,470"
古巴,Cuba,"1,106,203","8,529"
立陶宛,Lithuania,"1,069,206","9,176"
突尼西亞,Tunisia,"1,052,180","28,691"
斯洛維尼亞,Slovenia,"1,043,241","6,655"
白俄羅斯,Belarus,"982,867","6,978"
尼泊爾,Nepal,"979,908","11,952"
烏拉圭,Uruguay,"957,629","7,331"
阿拉伯聯合大公國,UAE,"954,692","2,319"
玻利維亞,Bolivia,"931,955","21,958"
巴拿馬,Panama,"925,254","8,373"
瓜地馬拉,Guatemala,"922,340","18,628"
厄瓜多,Ecuador,"915,679","35,747"
哥斯大黎加,Costa Rica,"904,934","8,525"
拉脫維亞,Latvia,"837,872","5,862"
