機構代碼,區域,縣市,行政區,機構名稱,地址,電話,經度,緯度
0111070010,台北區,基隆市,信義區,衛生福利部基隆醫院,基隆市信義區信二路２６８號,02-24292525,121.748322,25.130456
1411030013,台北區,基隆市,暖暖區,醫療財團法人臺灣區煤礦業基金會臺灣礦工醫院,基隆市暖暖區源遠路２９號,02-24579101,121.733254,25.107904
0511040010,台北區,基隆市,中正區,三軍總醫院附設基隆民眾診療服務處,基隆市中正區正榮街100號,02-24231735,121.764267,25.144625
0101090517,台北區,臺北市,中正區,臺北市立聯合醫院-和平院區,臺北市中正區中華路二段33號,02-23889595,121.506986,25.03562226
0101090517,台北區,臺北市,大同區,臺北市立聯合醫院-中興院區,臺北市大同區鄭州路145號,02-25523234,121.5093209,25.0509696
0101090517,台北區,臺北市,士林區,臺北市立聯合醫院-陽明院區,臺北市士林區雨聲街105號,02-28353456#5145,121.5315656,25.105194
0101090517,台北區,臺北市,南港區,臺北市立聯合醫院-忠孝院區,臺北市南港區同德路87號,02-27861288,121.5860755,25.0465327
1101010021,台北區,臺北市,松山區,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,02-27718151,121.547339,25.0480541
0501010019,台北區,臺北市,松山區,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路１３１號,02-27642151,121.557672,25.054373
1101010012,台北區,臺北市,松山區,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路１９９號,02-27135211,121.5496556,25.0555992
1101110026,台北區,臺北市,內湖區,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段４２０巷２６號,02-26345500,121.6089476,25.0758907
0901190010,台北區,臺北市,萬華區,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,02-23076968,121.494405,25.027743
1501010010,台北區,臺北市,松山區,博仁綜合醫院,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,02-25786677#2019、0978-199960,121.5576835,25.0499097
